subject;question;true;wrong1;wrong2;wrong3
Geographie;Was ist die Amtssprache von Costa Rica?;Spanisch;Englisch;Portugiesisch;Kreolisch
Geographie;Welcher der folgenden ehemaligen Jugoslawienstaaten ist ein Binnenstaat?;Serbien;Bosnien und Herzegowina;Montenegro;Kroatien
Geographie;Was ist die Hauptstadt von Belarus?;Minsk;Warschau;Kiew;Vilnius
Geographie;Welches Land hat die Abkürzung "CH"?;Schweiz;China;Kanada;Kein Land
Geographie;Wie lautet der Spitzname des US-Bundesstaates Delaware?;The First State;The Fiftieth State;The Second State;The Sixteenth State
Geographie;Welches Land war NICHT Teil des ehemaligen Jugoslawiens?;Albanien;Kroatien;Serbien;Mazedonien
Geographie;Welche dieser Mittelmeerinseln steht unter der Hoheit Frankreichs?;Korsika;Mallorca;Sardinien;Malta
Geographie;Welcher Ozean grenzt an die Westküste der Vereinigten Staaten?;Pazifik;Atlantik;Indischer Ozean;Arktischer Ozean
Geographie;Wo liegt die "Sonora-Wüste"?;Nordamerika;Südamerika;Asien;Afrika
Geographie;Welche Stadt wird als "Rosenhauptstadt der Welt" bezeichnet?;Tyler, Texas;San Diego, Kalifornien;Miami, Florida;Anaheim, Kalifornien
Geographie;Wo befindet sich der Colchester Overpass, auch bekannt als "Bunny Man Bridge"?;Fairfax County, Virginia;Medford, Oregon;Braxton County, Virginia;Lemon Grove, Kalifornien
Geographie;Welcher US-Bundesstaat ist flächenmäßig der größte?;Alaska;Kalifornien;Texas;Washington
Geographie;Mit welchem Land grenzt Österreich nicht?;Frankreich;Slowenien;Schweiz;Slowakei
Geographie;Welches Land erhebt Anspruch auf den umstrittenen Staat Kosovo?;Serbien;Kroatien;Albanien;Mazedonien
Geographie;Für welche Nationalität steht das Präfix Sino-?;Chinesisch;Japanisch;Russisch;Indisch
Geographie;Wie heißt die Felsenregion, die den Großteil des östlichen Kanadas umfasst?;Canadian Shield;Rocky Mountains;Appalachian Mountains;Himalaya
