subject;question;true;wrong1;wrong2;wrong3
Astrologie;Welcher Planet ist im Sonnensystem am heißesten?;Venus;Mars;Merkur;Jupiter
Astrologie;Ganymed ist der größte Mond von welchem Planeten?;Jupiter;Uranus;Neptun;Mars
Astrologie;Welches ist das häufigste Element im Universum?;Wasserstoff;Helium;Lithium;Sauerstoff
Astrologie;Wie lange braucht das Licht, um von der Sonne zur Erde zu reisen (gerundet auf Minuten)?;8 Minuten;6 Minuten;2 Minuten;12 Minuten
Astrologie;Wie lang ist ein Lichtjahr?;9,461 Billionen Kilometer;1 AE;105,40 Erdenjahre;501,2 Millionen Meilen
Astrologie;Was befindet sich im Zentrum unserer Galaxie?;Ein schwarzes Loch;Ein Wurmloch;Eine Supernova;Ein Quasar
Astrologie;Wie heißt der Stern, der dem Nordpol am nächsten ist?;Polaris;Eridanus;Gamma Cephei;Iota Cephei
Astrologie;Die Monde Miranda, Ariel, Umbriel, Titania und Oberon umkreisen welchen Planeten?;Uranus;Jupiter;Venus;Neptun
Astrologie;Wie nennt man die Gashülle eines Kometen (den Schweif)?;Koma;Spur;Rückstoß;Ablation
Astrologie;Woraus besteht die Sonne hauptsächlich?;Wasserstoff & Helium;Wasserstoff & Stickstoff;Kohlenstoff & Stickstoff;Kohlenstoff & Helium
Astrologie;Welches Sternbild enthält das Zentrum der Milchstraße?;Schütze;Skorpion;Schlangenträger;Steinbock
Astrologie;Wie viele Planeten haben wir im Sonnensystem?;8;7;9;6
Astrologie;Was ist der Chandrasekhar-Limit?;1,4 Sonnenmassen;2,3 Sonnenmassen;0,8 Sonnenmassen;5,7 Sonnenmassen
Astrologie;Welcher Typ von Supernova entsteht durch Weiße Zwerge?;Typ Ia;Typ II;Typ Ib;Typ Ic
Astrologie;Was ist die Hubble-Konstante?;Expansionsrate des Universums;Masse der Milchstraße;Entfernung zur Andromedagalaxie;Alter des Universums
Astrologie;Welches Element entsteht primär in Supernovae?;Eisen;Helium;Kohlenstoff;Sauerstoff
Astrologie;Was ist ein Magnetar?;Neutronenstern mit extrem starkem Magnetfeld;Schwarzes Loch mit Akkretionsscheibe;Weißer Zwerg mit Planetensystem;Rotierender Pulsar
Astrologie;Welches Observatorium entdeckte erstmals Gravitationswellen?;LIGO;Hubble;Voyager 2;Kepler
Astrologie;Was ist die Oortsche Wolke?;Kometenreservoir am Rand des Sonnensystem;Gaswolke um junge Sterne;Staubring um Mars;Asteroidengürtel
Astrologie;Welcher Mond hat kryovulkanische Aktivität?;Enceladus;Europa;Titan;Callisto
Astrologie;Was ist die Drake-Gleichung?;Berechnung möglicher außerirdischer Zivilisationen;Masse von Neutronensternen;Expansionsgeschwindigkeit des Universums;Lebensdauer von Sternen
Astrologie;Welches Teleskop entdeckte die ersten Exoplaneten?;Kepler;Hubble;Spitzer;Chandra
Astrologie;Was ist Spaghettifizierung?;Dehnung durch Gezeitenkräfte bei Schwarzen Löchern;Kollision von Galaxien;Entstehung von Pulsaren;Expansion des Universums
Astrologie;Welche Galaxie kollidiert mit der Milchstraße?;Andromeda;Triangulum;Sculptor;Messier 87
Astrologie;Was ist die Fermi-Paradoxon?;Widerspruch zwischen hoher Alien-Wahrscheinlichkeit und fehlenden Beweisen;Masse-Energie-Äquivalenz;Quantenverschränkung;Relativitätstheorie
Astrologie;Welcher Planet hat den größten Temperaturunterschied?;Merkur;Venus;Mars;Jupiter
Astrologie;Was ist die Akkretionsscheibe?;Materiekreis um kompakte Objekte;Atmosphäre von Gasplaneten;Ring um Asteroiden;Staubwolke um Kometen
Astrologie;Welcher Exoplanet war der erste in einer habitablen Zone?;Kepler-186f;Proxima Centauri b;TRAPPIST-1e;HD 209458 b
Astrologie;Was ist die Kármán-Linie?;Grenze zum Weltraum (100 km);Höhe der ISS;Atmosphärenende;Satellitenumlaufbahn
Astrologie;Welcher Mond hat Stickstoffseen?;Titan;Europa;Ganymed;Io
Astrologie;Was ist ein Quasar?;Aktives Galaxienzentrum mit supermassereichem Schwarzem Loch;Neutronenstern;Weißer Zwerg;Protostern
Astrologie;Welches ist das größte bekannte Schwarze Loch?;TON 618;Sagittarius A*;M87*;Cygnus X-1
Astrologie;Was ist die Parker-Sonde?;Sonnensonde;Mars-Rover;Jupiter-Orbiter;Kometenlander
Astrologie;Welcher Planet hat Wolken aus Metall?;Jupiter;Saturn;Uranus;Neptun
Astrologie;Was ist die Kozai-Mechanismus?;Bahnstörung durch gravitative Wechselwirkung;Kernfusion in Sternen;Entstehung von Magnetfeldern;Expansion des Universums
Astrologie;Welcher Mond hat Geysire aus Wassereis?;Enceladus;Titan;Europa;Callisto
Astrologie;Was ist ein Pulsar?;Schnell rotierender Neutronenstern;Weißer Zwerg;Schwarzes Loch;Brauner Zwerg
Astrologie;Welches Element dominiert in Neptuns Atmosphäre?;Methan;Wasserstoff;Helium;Ammoniak
Astrologie;Was ist die Hawking-Strahlung?;Thermische Strahlung Schwarzer Löcher;Licht von Pulsaren;Energie von Quasaren;Wärme von Weißen Zwergen
Astrologie;Welcher Planet hat einen hexagonalen Sturm?;Saturn;Jupiter;Uranus;Neptun
Astrologie;Was ist die WMAP?;Satellit zur Vermessung der Hintergrundstrahlung;Mars-Rover;Jupiter-Sonde;Kometenobservatorium
Astrologie;Welcher Mond hat eine Rückwärtsumlaufbahn?;Triton;Titan;Europa;Io
Astrologie;Was ist die Roche-Grenze?;Mindestabstand für Mondstabilität;Maximale Sternmasse;Schwarzschild-Radius;Planetare Atmosphärengrenze
Astrologie;Welches ist das hellste bekannte Objekt im Universum?;Quasar 3C 273;Sonne;Eta Carinae;Rigel
Astrologie;Was ist ein Hypernova?;Extrem energiereiche Supernova;Kollision zweier Neutronensterne;Weißer Zwerg-Explosion;Protostern-Kollaps
Astrologie;Welcher Planet hat die längste Rotationsperiode?;Venus;Merkur;Mars;Jupiter
Astrologie;Was ist die Oortsche Wolke?;Kometenreservoir am Sonnensystemrand;Asteroidengürtel;Saturnringe;Interstellares Medium
Astrologie;Welcher Satellit entdeckte die kosmische Hintergrundstrahlung?;COBE;Hubble;Chandra;Spitzer
Astrologie;Was ist die Stringtheorie?;Theorie der fundamentalen Bausteine;Relativitätstheorie;Quantenmechanik;Standardmodell
Astrologie;Welcher Exoplanet hat eine "Super-Erde"-Masse?;Gliese 581c;HD 209458 b;51 Pegasi b;TRAPPIST-1d
Astrologie;Was ist die Kerr-Metrik?;Raumzeit um rotierende Schwarze Löcher;Expansion des Universums;Kernfusion in Sternen;Planetenbahnen
Astrologie;Welcher Mond hat unterirdische Ozeane?;Europa;Ganymed;Callisto;Io
Astrologie;Was ist die Chandrasekhar-Grenze?;Maximale Masse Weißer Zwerge (1,4 Sonnenmassen);Schwarzschild-Radius;Planetare Massengrenze;Neutronenstern-Kollaps
Astrologie;Welches ist das nächste Schwarze Loch?;Sagittarius A*;Cygnus X-1;V616 Monocerotis;GRO J0422+32
Astrologie;Was ist die Bekenstein-Grenze?;Maximale Information in einem Raumvolumen;Hawking-Strahlung;Expansionsrate;Lichtgeschwindigkeit
Astrologie;Welcher Planet hat die stärksten Winde?;Neptun;Jupiter;Saturn;Uranus
Astrologie;Was ist die Planck-Länge?;Kleinste mögliche Länge (1,6×10^-35 m);Größe eines Elektrons;Atomdurchmesser;Lichtwellenlänge
Astrologie;Welche Mission landete auf einem Kometen?;Rosetta;Deep Impact;Stardust;Hayabusa
Astrologie;Was ist die Fermi-Blase?;Riesige Gamma-Strahlungsregion in der Milchstraße;Supernova-Überrest;Quasar-Jet;Protostern-Wolke
Astrologie;Welcher Exoplanet hat die längste Umlaufzeit?;Kepler-421b;HD 80606 b;55 Cancri d;Gliese 876 c
Astrologie;Was ist die Tolman-Oppenheimer-Volkoff-Grenze?;Maximale Neutronensternmasse (~3 Sonnenmassen);Weißer Zwerg-Limit;Planetare Massengrenze;Schwarzschild-Radius
Astrologie;Welcher Mond hat die dichteste Atmosphäre?;Titan;Europa;Ganymed;Callisto
Astrologie;Was ist die Penrose-Prozess?;Energiegewinnung aus rotierenden Schwarzen Löchern;Kernfusion;Supernova-Explosion;Planetenentstehung
Astrologie;Welches ist das massereichste bekannte Sternsystem?;R136a1;Eta Carinae;Betelgeuse;UY Scuti
Astrologie;Was ist die holographische Prinzip?;Universum als holographische Projektion;Quantenverschränkung;Relativitätstheorie;Standardmodell
Astrologie;Welcher Planet hat die exzentrischste Umlaufbahn?;Mercury;Venus;Mars;Jupiter
Astrologie;Was ist die No-Hair-Theorem?;Schwarze Löcher haben nur Masse, Ladung und Drehimpuls;Hawking-Strahlung;Quantengravitation;Stringtheorie
Astrologie;Welche Mission entdeckte Wasser auf dem Mars?;Mars Express;Viking;Pathfinder;Opportunity
Astrologie;Was ist die BKL-Singularität?;Chaotische Raumzeit-Singularität;Urknall;Schwarzes Loch;Quantenfluktuation
Astrologie;Welcher Satellit kartierte die kosmische Hintergrundstrahlung?;Planck;WMAP;COBE;Hubble
Astrologie;Was ist die AdS/CFT-Korrespondenz?;Verbindung zwischen Quantenfeldtheorie und Stringtheorie;Relativitätstheorie;Standardmodell;Quantenmechanik
Astrologie;Welcher Exoplanet hat die kürzeste Umlaufzeit?;PSR J1719-1438 b;Kepler-70b;HD 80606 b;51 Pegasi b
Astrologie;Was ist die Wheeler-DeWitt-Gleichung?;Quantengleichung für die Raumzeit;Schrödinger-Gleichung;Dirac-Gleichung;Maxwell-Gleichungen
Astrologie;Welcher Mond hat die meisten aktiven Vulkane?;Io;Europa;Titan;Enceladus
Astrologie;Was ist die Multiversum-Theorie?;Existenz paralleler Universen;Stringtheorie;Quantenmechanik;Relativitätstheorie
Astrologie;Welches ist das älteste bekannte Objekt im Universum?;GN-z11;Methuselah-Stern;Quasar ULAS J1342;GRB 090423
Astrologie;Was ist die Landau-Dämpfung?;Dämpfung von Plasmawellen;Supernova-Explosion;Kernfusion;Dämpfung von Gravitationswellen
Astrologie;Welcher Planet hat die größte Bahnneigung zur Ekliptik?;Uranus;Venus;Pluto;Merkur
Astrologie;Was ist der "Große Attraktor"?;Eine mysteriöse Gravitationsanomalie;Ein Superhaufen;Ein Quasar;Ein schwarzes Loch
Astrologie;Welcher Mond hat einen unterirdischen Salzwasserozean?;Europa;Titan;Ganymed;Callisto
Astrologie;Was ist die "Hertzsprung-Lücke"?;Bereich im HRD ohne Sterne;Fehlende Planetentypen;Lücke im Asteroidengürtel;Dunkle Materiezone
Astrologie;Welches ist das kälteste bekannte natürliche Objekt im Universum?;Boomerang-Nebel;Pluto;Oortsche Wolke;Triton
Astrologie;Was verursacht die "Kirkwood-Lücken" im Asteroidengürtel?;Orbitalresonanzen mit Jupiter;Schwarze Löcher;Kometeneinschläge;Dunkle Materie
Astrologie;Welcher Planet hat Wolken aus Schwefelsäure?;Venus;Jupiter;Neptun;Saturn
Astrologie;Was ist "Planet 9"?;Hypothetischer transneptunischer Planet;Ehemaliger Name Plutos;Exoplanet;Brauner Zwerg
Astrologie;Welcher Mond hat eine Rückwärtsrotation?;Triton;Titan;Io;Charon
Astrologie;Was ist die "Fermi-Blase"?;Riesige Gamma-Strahlungsstruktur in der Milchstraße;Supernova-Überrest;Quasar-Jet;Protostern
Astrologie;Welches Sternbild enthält den galaktischen Nordpol?;Haar der Berenike;Schwan;Perseus;Kassiopeia
Astrologie;Was ist die "Kármán-Linie"?;Grenze zwischen Atmosphäre und Weltraum (100 km);ISS-Umlaufbahn;Geostationäre Umlaufbahn;Van-Allen-Gürtel
Astrologie;Welcher Exoplanet hat die längste bekannte Umlaufzeit?;Kepler-421b;51 Pegasi b;HD 80606 b;TRAPPIST-1h
Astrologie;Was ist die "Oberth-Wirkung"?;Effiziente Nutzung von Raketentriebwerken;Relativistische Zeitdilatation;Gezeitenkräfte;Kernfusion
Astrologie;Welcher Planet hat die exzentrischste Umlaufbahn?;Merkur;Pluto;Mars;Venus
Astrologie;Was ist ein "Brauner Zwerg"?;Gescheiterter Stern;Toter Planet;Neutronenstern;Weißer Zwerg
Astrologie;Welcher Mond zeigt Kryovulkanismus?;Enceladus;Deimos;Phobos;Mimas
Astrologie;Was ist die "Chandrasekhar-Grenze"?;Maximale Masse eines weißen Zwergs (1,4 Sonnenmassen);Schwarzschild-Radius;Planetare Massengrenze;Neutronenstern-Kollaps
Astrologie;Welches ist das massereichste bekannte Schwarze Loch?;TON 618;Sagittarius A*;M87*;Cygnus X-1
Astrologie;Was ist die "Pioneer-Anomalie"?;Unerklärliche Abbremsung der Pioneer-Sonden;Gravitationswellen;Dunkle Energie;Hawking-Strahlung
Astrologie;Welcher Planet hat die längste Rotationsperiode?;Venus;Merkur;Mars;Jupiter
Astrologie;Was ist die "Tolman-Oppenheimer-Volkoff-Grenze"?;Maximale Masse eines Neutronensterns (~3 Sonnenmassen);Weißer Zwerg-Limit;Planetare Massengrenze;Schwarzschild-Radius
Astrologie;Welcher Mond hat Methanseen?;Titan;Europa;Ganymed;Callisto
Astrologie;Was ist die "Boltzmann-Hirn-Paradoxon"?;Hypothese über spontan entstehendes Bewusstsein;Quantenverschränkung;Multiversum;Dunkle Materie
Astrologie;Welcher Satellit entdeckte die kosmische Hintergrundstrahlung?;COBE;Hubble;Chandra;Spitzer
Astrologie;Was ist die "BKL-Singularität"?;Chaotische Raumzeit-Singularität;Urknall;Schwarzes Loch;Quantenfluktuation
Astrologie;Welcher Exoplanet hat die höchste bekannte Dichte?;55 Cancri e;Kepler-10b;GJ 1214 b;HD 209458 b
Astrologie;Was ist die "Alfvén-Grenze"?;Punkt, wo Sonnenwind nicht mehr magnetisch gebunden ist;Schwarzschild-Radius;Gezeitenradius;Roche-Grenze
Astrologie;Welcher Mond hat Stickstoffgeysire?;Triton;Enceladus;Io;Europa
Astrologie;Was ist die "Wheeler-DeWitt-Gleichung"?;Quantengleichung für die Raumzeit;Schrödinger-Gleichung;Dirac-Gleichung;Maxwell-Gleichungen
Astrologie;Welcher Planet hat einen hexagonalen Sturm am Nordpol?;Saturn;Jupiter;Uranus;Neptun
Astrologie;Was ist die "Kozai-Mechanismus"?;Bahnstörung durch gravitative Wechselwirkung;Kernfusion;Supernova;Planetenentstehung
Astrologie;Welcher Exoplanet wurde als erster in der habitablen Zone entdeckt?;Kepler-186f;Proxima Centauri b;TRAPPIST-1e;Gliese 581c
Astrologie;Was ist "Spaghettifizierung"?;Streckung durch Gezeitenkräfte bei schwarzen Löchern;Supernova;Kernfusion;Planetenkollision
Astrologie;Welcher Mond hat die dichteste Atmosphäre?;Titan;Europa;Ganymed;Callisto
Astrologie;Was ist die "Penrose-Prozess"?;Energiegewinnung aus rotierenden schwarzen Löchern;Kernfusion;Supernova;Hawking-Strahlung
Astrologie;Welches ist das hellste bekannte Objekt im Universum?;Quasar 3C 273;Sonne;Eta Carinae;Rigel
Astrologie;Was ist ein "Hypernova"?;Extrem energiereiche Supernova;Kollision zweier Neutronensterne;Weißer Zwerg;Protostern
Astrologie;Welcher Planet hat metallischen Wasserstoff in seinem Inneren?;Jupiter;Saturn;Uranus;Neptun
Astrologie;Was ist die "No-Hair-Theorem"?;Schwarze Löcher haben nur Masse, Ladung und Drehimpuls;Hawking-Strahlung;Quantengravitation;Stringtheorie
Astrologie;Welcher Satellit kartierte die kosmische Hintergrundstrahlung am genauesten?;Planck;WMAP;COBE;Hubble
Astrologie;Was ist die "AdS/CFT-Korrespondenz"?;Verbindung zwischen Quantenfeldtheorie und Stringtheorie;Relativitätstheorie;Standardmodell;Quantenmechanik
Astrologie;Welcher Exoplanet hat die kürzeste bekannte Umlaufzeit?;PSR J1719-1438 b;Kepler-70b;HD 80606 b;51 Pegasi b
Astrologie;Was ist die "Landau-Dämpfung"?;Dämpfung von Plasmawellen;Supernova;Kernfusion;Gravitationswellen
Astrologie;Welcher Mond hat die meisten aktiven Vulkane?;Io;Europa;Titan;Enceladus
Astrologie;Welcher Planet hat die längste Sonnenfinsternis?;Merkur;Venus;Mars;Jupiter
Astrologie;Was ist die "Hillsche Wolke"?;Hypothetische äußere Oortsche Wolke;Staubring um Mars;Gaswolke um Jupiter;Kometenschweif
Astrologie;Welcher Mond hat die höchsten Berge im Sonnensystem?;Io;Titan;Oberon;Rhea
Astrologie;Was ist die "Zwicky-Transition"?;Phasenübergang in Neutronensternen;Supernova-Typ;Planetenentstehung;Galaxienkollision
Astrologie;Welches ist das am stärksten magnetisierte bekannte Objekt?;Magnetar;Weißer Zwerg;Quasar;Brauner Zwerg
Astrologie;Was verursacht die "Yarkovsky-Effekt"?;Bahnänderung durch thermische Abstrahlung;Gezeitenkräfte;Dunkle Materie;Sonnenwind
Astrologie;Welcher Planet hat die stärksten Gezeitenkräfte?;Jupiter;Saturn;Uranus;Neptun
Astrologie;Was ist "Sedna"?;Transneptunisches Objekt mit extrem langer Umlaufbahn;Exoplanet;Mond des Pluto;Asteroid
Astrologie;Welcher Mond hat die dickste Eisschicht?;Europa;Ganymed;Callisto;Titan
Astrologie;Was ist die "Jeans-Instabilität"?;Kollaps von Gaswolken zu Sternen;Supernova-Mechanismus;Planetenmigration;Schwarzes Loch-Entstehung
Astrologie;Welches Sternbild enthält den galaktischen Südpol?;Tafelberg;Kranich;Indianer;Pavo
Astrologie;Was ist die "Gegenschein"?;Lichtreflexion im interplanetaren Staub;Polarlichter;Kometenschweif;Supernova-Überrest
Astrologie;Welcher Exoplanet hat die kürzeste Rotationsperiode?;WASP-19b;51 Pegasi b;HD 189733 b;TRAPPIST-1e
Astrologie;Was ist die "Poynting-Robertson-Effekt"?;Bremsung von Staubteilchen durch Strahlung;Gezeitenkräfte;Dunkle Energie;Magnetfeldwechselwirkung
Astrologie;Welcher Planet hat die stärksten Blitze?;Saturn;Jupiter;Uranus;Venus
Astrologie;Was ist ein "Thorne-Żytkow-Objekt"?;Stern mit Neutronensternkern;Doppelsternsystem;Hypernova;Brauner Zwerg
Astrologie;Welcher Mond hat Stickstoff-Gletscher?;Triton;Titan;Europa;Enceladus
Astrologie;Was ist die "Eddington-Grenze"?;Maximale Leuchtkraft eines Sterns;Schwarzschild-Radius;Planetare Massengrenze;Hawking-Strahlung
Astrologie;Welches ist das am schnellsten rotierende bekannte Objekt?;PSR J1748-2446ad;Magnetar;Quasar;Weißer Zwerg
Astrologie;Was ist die "Parker-Spirale"?;Spiralförmiges interplanetares Magnetfeld;Galaxienarm;Planetenbahn;Kometenschweif
Astrologie;Welcher Planet hat die komplexesten Ringstrukturen?;Saturn;Jupiter;Uranus;Neptun
Astrologie;Was ist die "Lagrange-Punkte"?;Gravitationsgleichgewichtspunkte;Supernova-Regionen;Planetare Atmosphärenschichten;Asteroidengürtel
Astrologie;Welcher Mond hat die höchste Albedo?;Enceladus;Europa;Io;Titan
