subject;question;true;wrong1;wrong2;wrong3
Kunst;Was ist der Unterschied zwischen Fresko und Secco?;Fresko auf nassem, Secco auf trockenem Putz;Beide auf nassem Putz;Beide auf trockenem Putz;Fresko mit Ölfarben
Kunst;Welche Epoche ist für die Verwendung der Sfumato-Technik bekannt?;Renaissance;Barock;Gotik;Impressionismus
Kunst;Wer schuf die Skulptur "Der Denker"?;Auguste Rodin;Edgar Degas;Camille Claudel;Alberto Giacometti
Kunst;Was ist ein Triptychon in der Kunst?;Ein dreiteiliges Gemälde;Ein quadratisches Bild;Ein Fresko auf drei Wänden;Ein Buch mit drei Kapiteln
Kunst;Welcher Stil ist der Pointillismus?;Malen mit Farbpunkten;Malen mit breiten Pinselstrichen;Malen mit geometrischen Formen;Malen mit monochromen Farben
Kunst;Wer entwarf die Glaskonstruktion des Crystal Palace in London?;Joseph Paxton;Gustave Eiffel;Ludwig Mies van der Rohe;Frank Gehry
Kunst;Was bedeutet vanitas in der Stilllebenmalerei?;Vergänglichkeit des Lebens;Reichtum und Überfluss;Naturverbundenheit;Religiöse Hingabe
Kunst;Welcher Künstler gilt als Vater der modernen Landschaftsarchitektur in den USA?;Frederick Law Olmsted;Andrew Jackson Downing;Beatrix Farrand;Jens Jensen
Kunst;Was ist Goldschmiedekunst?;Metallverarbeitung mit Gold;Malerei mit Goldfarbe;Skulptur aus vergoldetem Holz;Färben von Textilien mit Goldfäden
Kunst;Welcher Stil zeichnet sich durch übermäßige Dekoration, Gold und Dramatik aus?;Barock;Klassizismus;Romanik;Biedermeier
Kunst;Was ist die Blaue Periode von Picasso?;Melancholische Werke in Blau- und Grüntönen;Werke mit rein blauen Farben;Seine frühen surrealistischen Werke;Seine kubistischen Anfänge
Kunst;Welcher Architekt entwarf das Bauhaus in Dessau?;Walter Gropius;Mies van der Rohe;Le Corbusier;Eero Saarinen
Kunst;Was ist Heliogravüre?;Ein fotografisches Tiefdruckverfahren;Eine frühe Form der Malerei;Eine Technik der Keramikherstellung;Ein Verfahren zur Glasmalerei
Kunst;Wer malte das berühmte Bild Die Nachtwache?;Rembrandt van Rijn;Jan Vermeer;Frans Hals;Peter Paul Rubens
Kunst;Was versteht man unter dem Goldenen Schnitt in der Kunst?;Ein idealisiertes Proportionierungsverhältnis;Eine spezielle Farbmischung;Eine Technik der Perspektive;Eine Methode zur Schattierung
