subject;question;true;wrong1;wrong2;wrong3
Geografie;Welche Hauptstadt hat Deutschland?;Berlin;München;Hamburg;Köln
Geografie;In welchem Land steht der Eiffelturm?;Frankreich;Belgien;Spanien;Italien
Geografie;Welche Währung wird in Japan verwendet?;Yen;Won;Yuan;Dollar
Geografie;Wie heißt die traditionelle japanische Kleidung?;Kimono;Sari;Dirndl;Kilt
Geografie;In welcher Stadt liegt der Times Square?;New York;Los Angeles;Chicago;Miami
Geografie;Welche Sprache spricht man in Brasilien?;Portugiesisch;Spanisch;Englisch;Französisch
Geografie;Wie heißt das größte Korallenriff der Welt?;Great Barrier Reef;Belize Barrier Reef;Andaman Reef;Maldives Reef
Geografie;Welches Tier ist ein Symbol für Australien?;Känguru;Löwe;Panda;Elefant
Geografie;In welchem Land liegt die Pyramide von Gizeh?;Ägypten;Mexiko;Peru;Irak
Geografie;Welche Farbe hat das traditionelle indische Hochzeitskleid der Braut?;Rot;Blau;Weiß;Schwarz
Geografie;Welche Hauptstadt hat Österreich?;Wien;Salzburg;Graz;Innsbruck
Geografie;Wie heißt der längste Fluss der Welt?;Nil;Amazonas;Jangtse;Mississippi
Geografie;Welche Sprache spricht man in China?;Mandarin;Japanisch;Koreanisch;Thai
Geografie;Welches Land ist für Fjorde bekannt?;Norwegen;Finnland;Schweden;Dänemark
Geografie;Wie heißt der höchste Berg der Welt?;Mount Everest ;K2;Kilimandscharo;Matterhorn
Geografie;"Welche Stadt wird auch ""Die Stadt der Liebe"" genannt?";Paris;Venedig;Rom;Barcelona
Geografie;Welches Land hat die Form eines Stiefels?;Italien;Spanien;Griechenland;Portugal
Geografie;Welche Währung wird in Großbritannien verwendet?;Pfund;Euro;Dollar;Franken
Geografie;In welchem Land liegt der Grand Canyon?;USA;Kanada;Mexiko;Argentinien
Geografie;Welche Farbe haben traditionelle Taxis in London?;Schwarz;Gelb;Rot;Blau
Geografie;Wie heißt die Hauptstadt von Spanien?;Madrid;Barcelona;Valencia;Sevilla
Geografie;Welches Land ist für Windmühlen und Tulpen bekannt?;Niederlande;Belgien;Deutschland;Luxemburg
Geografie;Welche Sprache spricht man in der Schweiz?;Deutsch, Französisch, Italienisch, Rätoromanisch;Nur Deutsch;Nur Französisch;Nur Italienisch
Geografie;Wie heißt der größte Kontinent der Welt?;Asien;Afrika;Europa;Nordamerika
Geografie;Welches Land ist für das Oktoberfest bekannt?;Deutschland;Österreich;Schweiz;Tschechien
Geografie;Wie heißt die Wüste in Nordafrika?;Sahara;Gobi;Kalahari;Atacama
Geografie;Welche Stadt liegt auf zwei Kontinenten?;Istanbul;Moskau;Kairo;Athen
Geografie;Welches Land ist für Kangaroos und Koalas bekannt?;Australien;Neuseeland;Südafrika;Indonesien
Geografie;Wie heißt die Hauptstadt von Kanada?;Ottawa;Toronto;Vancouver;Montreal
Geografie;Welche Sprache spricht man in Russland?;Russisch;Ukrainisch;Weißrussisch;Polnisch
Geografie;Welche Farbe hat die japanische Flagge?;Weiß mit rotem Kreis;Rot mit gelbem Stern;Blau mit weißem Kreuz;Grün mit gelbem Halbmond
Geografie;Welches Land ist für den Karneval in Rio bekannt?;Brasilien;Argentinien;Kolumbien;Chile
Geografie;Wie heißt der größte Ozean der Welt?;Pazifik;Atlantik;Indik;Arktik
Geografie;Welche Hauptstadt hat Frankreich?;Paris;Lyon;Marseille;Nizza
Geografie;Wie heißt der traditionelle schottische Rock?;Kilt;Dirndl;Lederhosen;Sarong
Geografie;Welches Land ist für die Pyramiden der Maya bekannt?;Mexiko;Peru;Bolivien;Guatemala
Geografie;Wie heißt die Währung in den USA?;Dollar;Euro;Peso;Pfund
Geografie;"Welche Stadt wird auch ""Big Apple"" genannt?";New York;Los Angeles;Chicago;Las Vegas
Geografie;Welches Land ist für Fjorde und Wikinger bekannt?;Norwegen;Finnland;Schweden;Island
Geografie;Wie heißt die Hauptstadt von Thailand?;Bangkok;Phuket;Chiang Mai;Pattaya
Geografie;Welche Sprache spricht man in Ägypten?;Arabisch;Ägyptisch;Hebräisch;Persisch
Geografie;Welche Farbe hat die indische Flagge?;Grün, Weiß, Orange;Rot, Weiß, Blau;Gelb, Blau, Rot;Schwarz, Rot, Gold
Geografie;Welches Land ist für Uhren bekannt?;Schweiz;Belgien;Deutschland;Österreich
Geografie;Wie heißt der kleinste Kontinent der Welt?;Australien;Europa;Afrika;Antarktika
Geografie;Welche Stadt liegt am Canal Grande?;Venedig;Rom;Florenz;Neapel
Geografie;Welches Land ist für Akropolis und Olympische Spiele bekannt?;Griechenland;Italien;Türkei;Zypern
Geografie;Wie heißt die Währung in Mexiko?;Peso;Dollar;Euro;Real
Geografie;"Welche Stadt wird auch ""Stadt der Engel"" genannt?";Los Angeles;San Francisco;Las Vegas;San Diego
Geografie;Welches Land hat die meisten Zeitzonen?;Frankreich;USA;Russland;China
Geografie;In welchem Land liegt der Vulkan Kilimandscharo?;Tansania;Kenia;Uganda;Äthiopien
Geografie;"Welche Stadt wird als ""Venedig des Nordens"" bezeichnet?";Amsterdam;Stockholm;Kopenhagen;St. Petersburg
Geografie;Wie heißt der kleinste unabhängige Staat der Welt?;Vatikanstadt;Monaco;San Marino;Liechtenstein
Geografie;Welcher Fluss fließt durch Paris?;Seine;Loire;Rhône;Garonne
Geografie;"Was ist ""Hanami"" in Japan?";Kirschblütenfest;Teezeremonie;Neujahrsfest;Laternenfest
Geografie;Welche Religion ist auf Bali vorherrschend?;Hinduismus;Buddhismus;Islam;Christentum
Geografie;In welchem Land trägt man zur Hochzeit traditionell Rot?;China;Indien;Türkei;Griechenland
Geografie;Welches Tier ist in Indien heilig?;Kuh;Affe;Schlange;Elefant
Geografie;"Wo steht die ""Sagrada Família""?";Barcelona;Madrid;Valencia;Sevilla
Geografie;Welches Bauwerk gehört nicht zu den 7 Weltwundern der Antike?;Stonehenge;Koloss von Rhodos;Leuchtturm von Alexandria;Hängende Gärten von Babylon
Geografie;"In welcher Stadt liegt die ""Goldene Moschee""?";Isfahan;Mekka;Jerusalem;Bagdad
Geografie;Welcher Tempel ist Angkor Wat?;Hinduistisch;Buddhistisch;Taoistisch;Shintoistisch
Geografie;"Wo befindet sich die ""Chinesische Mauer""?";Durch ganz China;Nur in Peking;In der Mongolei;In Tibet
Geografie;Welche Sprache spricht man in Argentinien?;Spanisch;Portugiesisch;Italienisch;Englisch
Geografie;Wie heißt die Währung in Südafrika?;Rand;Pula;Shilling;Naira
Geografie;In welchem Land ist Türkisch Amtssprache?;Türkei;Aserbaidschan;Kasachstan;Usbekistan
Geografie;Welche Schrift verwendet Griechenland?;Griechisch;Kyrillisch;Lateinisch;Arabisch
Geografie;Wie heißt die Währung in Thailand?;Baht;Ringgit;Rupiah;Dong
Geografie;Welcher Kontinent hat die meisten Länder?;Afrika;Asien;Europa;Amerika
Geografie;"Wo liegt das ""Great Blue Hole""?";Belize;Australien;Bahamas;Philippinen
Geografie;Welches Land hat die meisten Inseln?;Schweden;Indonesien;Philippinen;Japan
Geografie;"In welchem Land liegt die Salzwüste ""Salar de Uyuni""?";Bolivien;Chile;Peru;Argentinien
Geografie;Welcher Fluss bildet die Grenze zwischen den USA und Mexiko?;Rio Grande;Mississippi;Colorado;Yukon
Geografie;Welche Stadt ist die älteste durchgehend bewohnte der Welt?;Damaskus;Athen;Jerusalem;Rom
Geografie;"Wo liegt das ""Tal der Könige""?";Ägypten;Israel;Jordanien;Marokko
Geografie;Welches Land hat die meisten UNESCO-Welterbestätten?;Italien;China;Spanien;Frankreich
