subject;question;true;wrong1;wrong2;wrong3
Geographie;Welches Gebirge trennt Europa und Asien?;Ural;Alpen;Pyrenäen;Karpaten
Geographie;Was ist der größte Ozean der Welt?;Pazifischer Ozean;Atlantischer Ozean;Indischer Ozean;Arktischer Ozean
Geographie;In welchem Land liegt der Vulkan Mount Fuji?;Japan;China;Südkorea;Philippinen
Geographie;Welche Meerenge verbindet den Atlantik mit dem Mittelmeer?;Straße von Gibraltar;Straße von Hormus;Straße von Messina;Dardanellen
Geographie;Was ist das am dünnsten besiedelte Land der Welt?;Mongolei;Kanada;Australien;Island
Geographie;Welcher Fluss fließt durch London?;Themse;Seine;Rhein;Elbe
Geographie;Was ist das größte Land in Südamerika (Fläche)?;Brasilien;Argentinien;Kolumbien;Peru
Geographie;Welche Wüste bedeckt große Teile Nordafrikas?;Sahara;Gobi;Atacama;Kalahari
Geographie;In welchem Land befindet sich der Ayers Rock (Uluru)?;Australien;Neuseeland;Kanada;USA
Geographie;Welche Stadt ist bekannt für die "Verbotene Stadt"?;Peking;Shanghai;Hongkong;Tokio
Geographie;Welche Hauptstadt liegt am höchsten über dem Meeresspiegel?;La Paz;Quito;Bogotá;Mexiko-Stadt
Geographie;Wie heißt die Hauptstadt von Island?;Reykjavík;Oslo;Helsinki;Kopenhagen
Geographie;Welches Land liegt auf der Iberischen Halbinsel (neben Spanien)?;Portugal;Frankreich;Italien;Marokko
Geographie;Welcher See ist der größte Süßwassersee der Welt (Fläche)?;Oberer See;Baikalsee;Viktoriasee;Michigansee
Geographie;Welcher Staat der USA ist bekannt als "Sunshine State"?;Florida;Kalifornien;Texas;Arizona
Geographie;Welche Insel ist die größte im Mittelmeer?;Sizilien;Sardinien;Zypern;Korsika
Geographie;Was ist die Währung von Indien?;Indische Rupie;Yuan;Won;Tenge
Geographie;In welchem Bundesland liegt der Bodensee (größter Anteil)?;Baden-Württemberg;Bayern;Rheinland-Pfalz;Hessen
Geographie;Welches Land ist bekannt für seine Fjorde?;Norwegen;Schweden;Finnland;Dänemark
Geographie;Welcher ist der längste Gebirgszug der Welt?;Anden;Rocky Mountains;Himalaya;Alpen
Geographie;In welchem Kontinent liegt die Atacama-Wüste?;Südamerika;Afrika;Asien;Nordamerika
Geographie;Welche Stadt ist die Hauptstadt von Südafrika (legislativ)?;Kapstadt;Pretoria;Bloemfontein;Durban
Geographie;Welcher Kanal verbindet den Pazifischen mit dem Atlantischen Ozean?;Panamakanal;Suezkanal;Nord-Ostsee-Kanal;Kiel-Kanal
Geographie;Welches Land hat die längste Küstenlinie der Welt?;Kanada;Russland;Australien;USA
Geographie;Welche Stadt liegt am Zusammenfluss von Blau und Donau?;Ulm;Passau;Regensburg;Wien
