subject;question;true;wrong1;wrong2;wrong3
Wissenschaft;Ungefähr wie lange dauert ein Jahr auf dem Uranus?;84 Erdjahre;47 Erdjahre;62 Erdjahre;109 Erdjahre
Wissenschaft;"Welche Wüste ist die einzige Wüste der Welt, in der der Kaktus ""Saguaro"" heimisch ist?";Sonora-Wüste;Gobi-Wüste;Yuma-Wüste;Arabische Wüste
Wissenschaft;Welches ist derzeit das größte Tier der Erde?;Blauwal;Orca;Riesenkalmar;Giraffe
Wissenschaft;Was ist die Wissenschaft, die sich mit den Zellen und Geweben von Pflanzen und Tieren beschäftigt?;Histologie;Mikrobiologie;Anatomie;Biochemie
Wissenschaft;Rhinoplastik ist ein chirurgischer Eingriff an welchem Körperteil des Menschen?;Nase;Ohren;Kinn;Hals
Wissenschaft;Wer entdeckte das Gravitationsgesetz?;Sir Isaac Newton;Galileo Galilei;Charles Darwin;Albert Einstein
Wissenschaft;In der Luftfahrt werden Landeklappen (Flaps) und Vorflügel (Slats) eingesetzt, um was am Flugzeug zu kontrollieren?;Auftrieb;Schub;Luftwiderstand;Gewicht
Wissenschaft;Dieses Element bildet bei extrem hoher Hitze und Druck Diamanten.;Kohlenstoff;Stickstoff;Sauerstoff;Wasserstoff
Wissenschaft;Welcher Planet ist im Sonnensystem am heißesten?;Venus;Mars;Merkur;Jupiter
Wissenschaft;Welcher Körperteil ist von Glaukom betroffen?;Augen;Rachen;Magen;Blut
Wissenschaft;Welcher Teil einer Blüte ist der männliche, pollenproduzierende Fortpflanzungsteil?;Staubblatt;Kelchblatt;Pistill;Blütenblatt
Wissenschaft;Wie lautet der wissenschaftliche Begriff für 'Geschmack'?;Gustatorische Wahrnehmung;Geruchssinn;Somatosensorik;Hörwahrnehmung
Wissenschaft;Alle der folgenden menschlichen genetischen Haplogruppen-Namen sind sowohl bei Y-Chromosomen- als auch bei mitochondrialen DNA-Haplogruppen gleich, AUSSER:;Haplogruppe U;Haplogruppe L;Haplogruppe T;Haplogruppe J
Wissenschaft;Wie viele Gesetze der Thermodynamik gibt es?;Vier;Drei;Zwei;Fünf
Wissenschaft;In welcher Einheit wird Strahlung gemessen?;Gray;Watt;Dezibel;Kelvin
Wissenschaft;Welcher Begriff ist am besten mit Sigmund Freud verbunden?;Psychoanalyse;Kognitive Verhaltenstherapie;Gravitationstheorie;Dialektisch-Behaviorale Therapie
Wissenschaft;In der Physik sind Energieerhaltung und Impulserhaltung beide Konsequenzen von welchem der folgenden Theoreme?;Noethers Theorem;Bells Theorem;Wicks Theorem;Carnots Theorem
Wissenschaft;Welches Polymer wird zur Herstellung von CDs, Schutzbrillen und Riot-Schildern verwendet?;Polycarbonat;Gummi;Nylon;Bakelit
