subject;question;true;wrong1;wrong2;wrong3
Automobil;Welches Schild zeigt eine Bundesstraße?;Gelb mit schwarzer Zahl;Blau mit "B";Rot mit Straße;Grün mit Nummer
Automobil;Was bedeutet ein rotes Dreieck mit Traktor?;Achtung landw. Fahrzeuge;Traktorweg;Bauernhof;Feldweg
Automobil;Welche Beleuchtung ist bei Schneefall Pflicht?;Abblendlicht;Fernlicht;Nebelscheinwerfer;Standlicht
Automobil;Was ist ein "Verkehrszeichen mit Zusatzschild"?;Hauptschild mit zusätzlicher Info;Leuchtendes Schild;Schild mit Pfeilen;Digitales Schild
Automobil;Welches Schild zeigt eine Fähre?;Blau mit Schiff;Rot mit Anker;Gelb mit Wasser;Grün mit Hafen
Automobil;Was bedeutet ein grünes Schild mit weißem "P"?;Parkhaus;Parkverbot;Werkstatt;Tankstelle
Automobil;Welche Regel gilt im Kreisverkehr?;Vorfahrt für Fahrzeuge im Kreis;Vorfahrt für Einfahrende;Rechts vor links;Ampelregelung
Automobil;Was ist ein "Lichtzeichenanlage"?;Ampel;Blitzer;Warndreieck;Scheinwerfer
Automobil;Welches Schild zeigt eine Autobahn?;Blau mit weißer "A";Grün mit "AB";Rot mit Fahrbahn;Gelb mit Pfeil
Automobil;Was bedeutet ein rotes Dreieck mit Schneeflocke?;Schneekettenpflicht;Winterreifenpflicht;Schneefall;Glätte
Automobil;Welche Höchstgeschwindigkeit gilt für Busse?;80 km/h;100 km/h;60 km/h;120 km/h
Automobil;Was ist ein "Differenzialsperre"?;Traktionshilfe für Gelände;Bremsassistent;Tempomat;Spurhalteassistent
Automobil;Welches Schild zeigt eine Gefällestrecke?;Rot-weiß mit %-Zahl;Blau mit Berg;Gelb mit Pfeil;Grün mit "Gefälle"
Automobil;Was bedeutet ein blaues Schild mit weißem "LKW"?;LKW-Parkplatz;LKW-Überholverbot;LKW-Werkstatt;LKW-Raststätte
Automobil;Welche Regel gilt bei einem "Vorfahrt gewähren"-Schild?;Bremsbereit sein und ggf. anhalten;Sofort stoppen;Nur langsam fahren;Nur nachts beachten
Automobil;Was ist ein "Parkleitzeichen"?;Schild mit Parkplatzinfos;Parkschein;Parkuhr;Parkautomat
Automobil;Welches Schild zeigt eine Haltestelle?;Blau mit "H";Rot mit Bus;Gelb mit "Stop";Grün mit Haltestrich
Automobil;Was bedeutet ein rotes Dreieck mit Krankenwagen?;Achtung Rettungsfahrzeug;Krankenhaus;Notarzt;Rettungsweg
Automobil;Welche Beleuchtung ist bei Regen Pflicht?;Abblendlicht;Fernlicht;Nebelscheinwerfer;Standlicht
Automobil;Was ist ein "Totmannknopf"?;Sicherheitssystem in Zügen;Nothalt;Türöffner;Signalgeber
Automobil;Welches Schild zeigt eine Autobahnkirche?;Blau mit Kirche;Grün mit Kreuz;Gelb mit "Gott";Rot mit Gebet
Automobil;Was bedeutet ein rotes Dreieck mit Pferd?;Achtung Reiter;Pferdehof;Reitweg;Pferdeparkplatz
Automobil;Welche Regel gilt bei einem "Vorfahrtstraße"-Schild?;Vorfahrt bis zum nächsten Kreuzung;Immer Vorfahrt;Nur tagsüber;Nur für Autos
Automobil;Was ist ein "Reifendruckkontrollsystem"?;Überwachung des Reifendrucks;Reifenwechselhilfe;Reifenprofilmessung;Reifenalarmanlage
Automobil;Welches Schild zeigt eine Tankstelle?;Blau mit Zapfsäule;Rot mit Benzin;Gelb mit "T";Grün mit Flamme
Automobil;Was bedeutet ein rotes Dreieck mit Radfahrer und Fußgänger?;Achtung gemischter Weg;Radfahrer verboten;Fußgängerzone;Gemeinsamer Weg
Automobil;Welche Höchstgeschwindigkeit gilt für Mofas?;25 km/h;45 km/h;30 km/h;20 km/h
Automobil;Was ist ein "Verkehrsberuhigter Bereich"?;Schrittgeschwindigkeit;30 km/h-Zone;Spielstraße;Fußgängerzone
Automobil;Welches Schild zeigt eine Raststätte?;Blau mit Gabel und Messer;Rot mit "Rast";Gelb mit Tisch;Grün mit "Pause"
Automobil;Was bedeutet ein blaues Schild mit weißem "i"?;Information;Internet;Instandsetzung;Intersection
Automobil;Welche Regel gilt bei einem "Einbahnstraße"-Schild?;Nur in Pfeilrichtung fahren;Keine Regel;Nur nachts beachten;Nur für Anwohner
Automobil;Was ist ein "Grüne Welle"?;Ampelschaltung für flüssigen Verkehr;Radweg;Umweltzone;Tempolimit
Automobil;Welches Schild zeigt eine Wasserschutzgebiet?;Blau mit Wassertropfen;Rot mit "Wasser";Gelb mit Fisch;Grün mit See
Automobil;Was bedeutet ein rotes Dreieck mit Flugzeug?;Achtung Fluglärm;Flughafen;Landebahn;Flugverbotszone
Automobil;Welche Beleuchtung ist bei Dämmerung Pflicht?;Abblendlicht;Standlicht;Nebelscheinwerfer;Fernlicht
Automobil;Was ist ein "Verkehrsleitsystem"?;Dynamische Wegweisung;Ampel;Blitzer;Warndreieck
Automobil;Welches Schild zeigt eine Notrufsäule?;Blau mit Telefon;Rot mit "Hilfe";Gelb mit Sirene;Grün mit Kreuz
Automobil;Was bedeutet ein rotes Dreieck mit Fußgängerüberweg?;Achtung Zebrastreifen;Fußgängerzone;Gehweg;Überweg verboten
